course_code,facility_code,course_name,hol,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00128-01,USA-AL-00128,Old Overton,18,71,Parkland,Tom Fazio/Jerry Pate,1993,Closed,~,~,~,N/D,N/D,USD
USA-AL-00130-01,USA-AL-00130,Orange Beach,9,27,Parkland,W R Bean,1995,Open,15,15,15,N/D,N/D,USD
USA-AL-00131-01,USA-AL-00131,Fox Ridge Golf Course,18,72,Parkland,Ron Garl,1972,Closed,39,49,49,N/D,N/D,USD
USA-AL-00132-01,USA-AL-00132,Percy Marcum,18,71,Parkland,N/D,1969,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00135-01,USA-AL-00135,Pine Harbor,18,72,Parkland,Harold Williams,1965,Closed,32,37,37,N/D,N/D,USD
USA-AL-00136-01,USA-AL-00136,Pine Hill,18,72,Parkland,Bill Scarborough,1962,Open,29,33,25,N/D,N/D,USD
USA-AL-00137-01,USA-AL-00137,Pine Tree,18,72,Parkland,George Cobb/John LaFoy,1969,Closed,106,106,106,N/D,N/D,USD
USA-AL-00138-01,USA-AL-00138,Pineview,9,,Parkland,N/D,N/D,Closed,~,~,~,N/D,N/D,USD
USA-AL-00139-01,USA-AL-00139,Plantation,18,72,Parkland,Jack Clay,1999,Open,39,49,49,N/D,N/D,USD
USA-AL-00140-01,USA-AL-00140,Point Mallard,18,72,Parkland,R-John LaFoy,1969/R-2006,Open,22,26,26,N/D,N/D,USD
USA-AL-00141-01,USA-AL-00141,Prattville,18,71,Parkland,N/D,1964,Closed,~,~,~,N/D,N/D,USD
USA-AL-00142-01,USA-AL-00142,Quail Creek,18,72,Parkland,Barney Shull,1988,Open,24,24,24,N/D,N/D,USD
USA-AL-00143-01,USA-AL-00143,Quail Creek,18,71,Parkland,Matthew Nail/John Eyster,1993,Open,15,19,25,N/D,N/D,USD
USA-AL-00144-01,USA-AL-00144,Castle Pines,18,72,Parkland,Mark Gallups,1972,Closed,~,~,~,N/D,N/D,USD
USA-AL-00145-01,USA-AL-00145,Quail Walk,18,72,Parkland,N/D,1974,Closed,~,~,~,N/D,N/D,USD
USA-AL-00146-01,USA-AL-00146,Rainsville,9,36,Parkland,N/D,1969,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00147-01,USA-AL-00147,Red Eagle,18,72,Parkland,Denis Griffiths,1986,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00148-01,USA-AL-00148,Redmont,18,72,Parkland,N/D,1964,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00149-01,USA-AL-00149,River Oaks,9,36,Parkland,Rickie Becks,1991,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00150-01,USA-AL-00150,River Run Golf Course,18,72,Parkland,Pilgreen & White,1994,Open,25,29,22,N/D,N/D,USD
USA-AL-00150-02,USA-AL-00150,Kolomi Golf Course,18,72,Parkland,Cam Hardigree,1988,Open,25,29,22,N/D,N/D,USD
USA-AL-00151-01,USA-AL-00151,River Trace,18,71,Parkland,Red Lawrence,1974,Closed,~,~,~,N/D,N/D,USD
USA-AL-00152-01,USA-AL-00152,Riverchase,18,72,Parkland,Joe Lee,1975,Closed,~,~,~,N/D,N/D,USD
USA-AL-00153-01,USA-AL-00153,Riverside,9,36,Parkland,N/D,1954,Closed,~,~,~,N/D,N/D,USD
USA-AL-00154-01,USA-AL-00154,Roanoke,9,36,Parkland,N/D,1959,Closed,~,~,~,N/D,N/D,USD
USA-AL-00155-01,USA-AL-00155,Rock Creek,18,72,Parkland,Earl Stone,1993,Open,62,62,62,N/D,N/D,USD
USA-AL-00156-01,USA-AL-00156,Roebuck Municipal,18,71,Parkland,N/D,1963,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00157-01,USA-AL-00157,Roland Cooper State Park,9,36,Parkland,N/D,1972,Open,N/D,N/D,N/D,N/D,N/D,USD
